code	仕入先	品名	保管温度帯	仕入れ単位	棚卸し単位	標準棚卸し単位	最低仕入単位	内製_flg
101	鳥喜代	牛豚挽肉（オーストラリア・国産）	冷凍	KG	KG	1	12	0
102	鳥喜代	国産 たまごケース	冷蔵	ケース	ケース	1	1	0
103	鳥喜代	ブラジル産 冷凍鶏モモカット	冷凍	KG	KG	2	2	0
104	鳥喜代	デンマーク産 冷凍ウィンナー	冷凍	KG	 KG	1	1	0
105	鳥喜代	カナダ産 冷凍豚バラS	冷凍	KG	 KG	1	1	0
106	鳥喜代	長野県産  豚肩肉	冷凍	KG	 KG	1	1	0
107	鳥喜代	ベーコン  スライス	冷凍	 KG	 KG	1	1	0
108	鳥喜代	国産 豚肩肉	冷凍	KG	 KG	1	1	0
109	鳥喜代	アラビキウインナー	冷凍	KG	 KG	1	1	0
110	鳥喜代	国産　赤玉子	冷蔵	ケース	ケース	1	1	0
111	鳥喜代	温泉玉子	冷蔵	個	個	1	1	0
199	鳥喜代							
201	大澤屋	玉ねぎ	常温	KG	玉	0.2	1	0
202	大澤屋	人参	常温	KG	本	0.2	1	0
203	大澤屋	キャベツ	冷蔵	個	個	1	1	0
204	大澤屋	大根	冷蔵	本	本	1	1	0
205	大澤屋	オレンジ・大	冷蔵	個	個	1	1	0
206	大澤屋	パプリカ・赤	冷蔵	個	個	1	1	0
207	大澤屋	バナナ	冷蔵	パック	パック	1	1	0
208	大澤屋	牛乳 1L	冷蔵	本	本	1	1	0
209	大澤屋	かんたん酢	常温	本	本	1	1	0
210	大澤屋	さとう（上白糖）	常温	袋	袋	1	1	0
211	大澤屋	長ネギ	冷蔵	本	本	1	1	0
212	大澤屋	ヨーグルト 400g	冷蔵	個	個	1	1	0
213	大澤屋	レタス	冷蔵	個	個	1	1	0
214	大澤屋	水菜	冷蔵	束	束	1	1	0
215	大澤屋	サラダ油	常温	本	本	1	1	0
216	大澤屋	ごま油（250ml)	常温	本	本	1	1	0
217	大澤屋	みりん(４５０ml)	常温	本	本	1	1	0
218	大澤屋	えのき茸　200g	冷蔵	袋	袋	1	1	0
219	大澤屋	しめじ　200g	冷蔵	袋	袋	1	1	0
220	大澤屋	まいたけ　100g	冷蔵	袋	袋	1	1	0
221	大澤屋	オレンジ・小	冷蔵	個	個	1	1	0
222	大澤屋	大葉（10枚）	冷蔵	袋	袋	1	1	0
223	大澤屋	小ネギ　100g	冷蔵	本	本	1	1	0
224	大澤屋	オクラ	冷蔵	個	個	1	1	0
225	大澤屋	アボカド	常温	個	個	1	1	0
226	大澤屋	長いも	冷蔵	KG	KG	1	1	0
227	大澤屋	レモン	冷蔵	個	個	1	1	0
228	大澤屋	トマト	冷蔵	個	個	1	1	0
229	大澤屋	白菜	冷蔵	個	個	1	1	0
230	大澤屋	オレンジ	冷蔵	個	個	1	1	0
231	大澤屋	ミニトマト	冷蔵	パック	パック	1	1	0
232	大澤屋	ほうれん草	冷蔵	パック	パック	1	1	0
233	大澤屋	小松菜	冷蔵	パック	パック	1	1	0
234	大澤屋	長なす	冷蔵	個	個	1	1	0
235	大澤屋	みりん	常温	本	本	1	1	0
236	大澤屋	ごぼう	冷蔵	KG	KG	1	1	0
237	大澤屋	切り干し大根・200g	常温	袋	袋	1	1	0
238	大澤屋	みかん	冷蔵	個	個	1	1	0
239	大澤屋	サニーレタス	冷蔵	個	個	1	1	0
240	大澤屋	ふきのとう	冷蔵	パック	パック	1	1	0
241	大澤屋	かんたん酢大	常温	本	本	1	1	0
242	大澤屋	きゅうり	冷蔵	本	本	1	1	0
243	大澤屋	ブロッコリー	常温	個	個	1	1	0
244	大澤屋	ニラ　100g	冷蔵	束	束	1	1	0
245	大澤屋	春菊	冷蔵	パック	パック	1	1	0
301	高瀬物産	ベストシェフ カップ納豆30g	冷凍	箱	箱	1	1	0
302	高瀬物産	ニチレイ スーパースイートコーン（US産）	冷凍	袋	袋	1	1	0
303	高瀬物産	ベストシェフ フルーツカクテル	常温	缶	缶	1	1	0
304	高瀬物産	ベストシェフ 濃口本醸造醤油	常温	本	本	1	1	0
305	高瀬物産	マイパール 長野県産 風さやか	常温	袋	袋	1	1	0
306	高瀬物産	明治 有塩バター	冷凍	個	個	1	1	0
307	高瀬物産	ベストシェフ トマトケチャップ チューブ	常温	本	本	1	1	0
308	高瀬物産	レジネッタ サルサポモドーロ（バジル入り）	常温	缶	缶	1	1	0
309	高瀬物産	ベストシェフ フルーツソース ブルーベリー	常温	本	本	1	1	0
310	高瀬物産	信越ポリマー ポリマラップ 営業用30cm（プラカッター）	備品	個	個	1	1	0
311	高瀬物産	信越ポリマー ポリマラップ 営業用45cm（プラカッター）	備品	個	個	1	1	0
312	高瀬物産	ベストシェフ オーブンシート 33cm	備品	本	本	1	1	0
313	高瀬物産	テーブルマーク PSロールケーキ（ショコラ）	冷凍	本	本	1	1	0
314	高瀬物産	テーブルマーク PSロールケーキ（宇治抹茶）	冷凍	本	本	1	1	0
315	高瀬物産	ベストシェフ セーフティアルコールクリーナー詰替え	備品	本	本	1	1	0
316	高瀬物産	ベストシェフ あらびき胡麻ドレッシング 焙煎仕立て	常温	本	本	1	1	0
317	高瀬物産	CDR EXVオリーブオイル	常温	本	本	1	1	0
318	高瀬物産	QP ノンオイルドレッシング 香味和風	常温	本	本	1	1	0
319	高瀬物産	ベストシェフ 特精塩	常温	袋	袋	1	1	0
320	高瀬物産	SB セレクト 味付塩コショー M缶	常温	缶	缶	1	1	0
321	高瀬物産	ベストシェフ 特撰生おろし生姜	常温	本	本	1	1	0
322	高瀬物産	エバラ 生姜焼のたれ	常温	本	本	1	1	0
323	高瀬物産	ハウス ジャワカレー フレーク	常温	袋	袋	1	1	0
324	高瀬物産	ニッスイ ふっくら切身 骨なしさば（ノルウェー）60g	冷凍	袋	袋	1	1	0
325	高瀬物産	ニッスイ ふっくら切身 骨なしあじ 60g	冷凍	袋	袋	1	1	0
326	高瀬物産	ミツカン酢（穀物酢）HP	常温	本	本	1	1	0
327	高瀬物産	ベストシェフ フルーツソース ブルーベリー N	常温	本	本	1	1	0
328	高瀬物産	ニッスイ ふっくら切身 骨なしほっけ 60g	冷凍	袋	袋	1	1	0
329	高瀬物産	ステーキソースたまねぎ(1150g)	常温	本	本	1	1	0
330	高瀬物産	ニッスイ ふっくら切身 骨なしさわら 60g	冷凍	袋	袋	1	1	0
331	高瀬物産	GFC 業務用(赤)蒲鉾	冷凍	本	本	1	1	0
332	高瀬物産	GFC 業務用(白)焼蒲鉾	冷凍	本	本	1	1	0
333	高瀬物産	ベストシェフ　クッキングペーパー(中)80枚カット	備品	袋	袋	1	1	0
334	高瀬物産	リビィ　ペーパータオル中200枚N　215×220	備品	袋	袋	1	1	0
335	高瀬物産	ベストシェフ　フリーザーバッグ　M	備品	個	個	1	1	0
336	高瀬物産	ジャパンソルト　セルドゲランド	常温	袋	袋	1	1	0
337	高瀬物産	ベストシェフ　片栗粉	常温	袋	袋	1	1	0
338	高瀬物産	宝酒造　味しるべ　料理酒(お徳用)ペット	常温	本	本	1	1	0
339	高瀬物産	ベストシェフ　ミックスナッツ	常温	袋	袋	1	1	0
340	高瀬物産	エフピコ　カウンタークロス緑　厚口レギュラー　箱入	備品	箱	箱	1	1	0
341	高瀬物産	エフピコ　カウンタークロス白　厚口レギュラー　箱入	備品	箱	箱	1	1	0
342	高瀬物産	ハウスホールドジャパン　CI-4　チャック付きポリ袋　透明	備品	袋	袋	1	1	0
343	高瀬物産	Chefeel スティックシュガー　3g	常温	個	個	1	1	0
344	高瀬物産	ベイクック　長野県産風さやか　2022年産	常温	袋	袋	1	1	0
345	高瀬物産	ベストシェフ　半透明ごみ袋　90L	備品	個	個	1	1	0
346	高瀬物産	ベストシェフ　紙おしぼり　（平）	備品	袋	袋	1	1	0
347	高瀬物産	ベストシェフ　調合ごま油　HP	常温	本	本	1	1	0
348	高瀬物産	ベストシェフ　ステーキソース　ローストガーリック	冷蔵	本	本	1	1	0
349	高瀬物産	QR チョレギサラダドレッシング	冷蔵	本	本	1	1	0
350	高瀬物産	ベストシェフ　いりごま　（白）	常温	袋	袋	1	1	0
351	高瀬物産	ベストシェフ　きざみのり　（国内産）　２mm	常温	袋	袋	1	1	0
352	高瀬物産	SB マルコポーロ　一味唐辛子	常温	袋	袋	1	1	0
353	高瀬物産	SBセレクト　糸切り唐辛子　袋入	常温	袋	袋	1	1	0
354	高瀬物産	中央化学　CFカップ85-180身	備品	袋	袋	1	1	0
355	高瀬物産	ケーピープラテック　紙カップ　KM140用フタ　OP	備品	袋	袋	1	1	0
356	高瀬物産	中央化学　CFカップ　85-180 平蓋	備品	袋	袋	1	1	0
357	高瀬物産	エフピコ　AP -ボウル　大　本体　エコ	備品	袋	袋	1	1	0
358	高瀬物産	エフピコ　AP -ボウル　大深　本体　エコ	備品	袋	袋	1	1	0
359	高瀬物産	エフピコ　AP -ボウル大　（ライン丸18）FS蓋エコ	備品	袋	袋	1	1	0
360	高瀬物産	みやこひも　竹丸箸20cm OP完封　楊枝入　透明袋	備品	袋	袋	1	1	0
361	高瀬物産	ケーピープラテック　54924 KM140-850	備品	袋	袋	1	1	0
362	高瀬物産	ベストシェフ　マヨネーズ　徳用	常温	本	本	1	1	0
363	高瀬物産	S＝O スライスハラペーニョペッパー（トルコ産）	常温	袋	袋	1	1	0
364	高瀬物産	みやこひも　ニューレジ袋S 乳白ブロック	備品	袋	袋	1	1	0
365	高瀬物産	みやこひも　ニューレジ袋　M  乳白　ブロック	備品	袋	袋	1	1	0
